Information_Score,Phrase,Newspaper
2.342010124620973e-06,elections,Tulane University
0.0001412222146941252,elections,Texas Christian University
-1.0843892194231817e-05,elections,Eastern Illinois University
4.156847697784676e-05,elections,University of Massachusetts Boston
-4.700878901088987e-06,elections,Santa Clara University
-1.8498321277445364e-05,elections,New York University
0.0004479838565490801,elections,SUNY Stony Brook
0.00033038125898992524,elections,University of Chicago
-4.610764178677165e-05,elections,University of Illinois Urbana Champaign
5.6784529732230985e-05,elections,Biola University
-6.632105936261112e-06,elections,University of California Irvine
2.5431161596659025e-05,elections,Hofstra University
0.0004527835070140674,elections,"University of Wisconsin, Madison"
4.1337633192226706e-05,elections,Northern Illinois University
0.0002183313241437996,elections,University of Miami
4.2550404724444873e-05,elections,University of Texas Arlington
3.5237575826088704e-05,elections,University of California Davis
-2.5180294774387733e-05,elections,Purdue University
-1.1820274746110506e-05,elections,University of Rochester
-1.0531226511101362e-05,elections,DePaul University
1.5189568057654946e-05,elections,San Diego State University
0.0002857841138492425,elections,Oklahoma State University
3.0734010684959286e-05,elections,Missouri State University
-1.5243913473460864e-05,elections,Virginia Commonwealth University
9.722776465759417e-05,elections,Columbia College Chicago
9.557415571354262e-05,elections,University of Southern Indiana
-5.586700053190063e-05,elections,University of Washington
-3.247530091917125e-05,elections,University of Minnesota Twin Cities
2.2384596859572753e-05,elections,Occidental College
4.14837592467905e-05,elections,"University of Tennessee, Knoxville"
-2.2621828556659554e-05,elections,CSU Sacramento
2.929551090551757e-05,elections,Florida International University
0.00019096496269204607,elections,University of Texas Austin
-1.4673153484096462e-05,elections,University of Massachusetts Amherst
0.0001385794863133194,elections,Hobart and William Smith Colleges
0.00011137137979560367,elections,University of California San Diego
-4.04691214617681e-06,elections,CSU Chico
-4.414226899299736e-05,elections,University of Pittsburgh
0.00013606221266039943,elections,University of Michigan
-2.522515889007357e-05,elections,University of Iowa
0.00022071611896653845,elections,Rowan University
0.000130332471754891,elections,Bowdoin College
-1.404546356809135e-05,elections,CSU Fullerton
0.00031335264900979147,elections,University of North Carolina Greensboro
4.654293619322691e-05,elections,Florida Atlantic University
3.6832903765990494e-05,elections,Regis University
2.9532843060401564e-05,elections,New Jersey Institute of Technology
-6.553164584346231e-06,elections,Texas A & M University
2.5776026128608204e-06,elections,Macalester College
8.653952283740307e-06,elections,Simpson College
3.1154546129209334e-05,elections,Claremont Colleges - Claremont McKenna
5.754250168916249e-05,elections,Northeastern University
-8.60466455807051e-06,elections,University of Oregon
5.656270093587434e-05,elections,Villanova University
0.0003372730578217426,elections,University of California Riverside
2.9356577063426327e-06,elections,Emerson College
-8.66558854636535e-06,elections,Mississippi State University
1.4852649434188053e-05,elections,Drake University
-4.7428647298268645e-06,elections,University of Cincinnati
0.00038473891449582225,elections,Oberlin College
-1.4813450585312141e-05,elections,Virginia Polytechnic Institute
0.00025303949595871094,elections,Georgia State University
0.0001619795406324057,elections,St. Olaf College
0.0002960103123147175,elections,Colgate University
-2.1547483737477316e-05,elections,Indiana University of Pennsylvania
5.3564988307390845e-05,elections,Wake Forest University
2.8024505960599045e-05,elections,Wright State University
3.9191660780945075e-05,elections,Towson University
1.0258644591656685e-05,elections,Mt. Holyoke College
1.3856158992615586e-05,elections,University of Maine
1.4234402471993435e-06,elections,Appalachian State University
9.120574101938534e-05,elections,Buena Vista University
4.2983140057181136e-05,elections,"Pittsburg State University, Kansas"
4.520952712818755e-05,elections,New Mexico State University
6.400513577470835e-05,elections,Lewis and Clark College
6.486964141319946e-05,elections,"California State Polytechnic University, Humboldt"
0.00010501917566755295,elections,CUNY Queens College
3.339769876008167e-05,college athletics,University of Utah
3.073677066719008e-05,college athletics,University of Notre Dame
3.5039290258961236e-05,college athletics,"University of Nebraska, Lincoln"
4.627312331663547e-05,college athletics,New York University
2.4555274282063368e-05,college athletics,University of Illinois Urbana Champaign
4.2227470415031046e-05,college athletics,University of California Davis
5.2951169847970325e-05,college athletics,University of Rochester
4.127303873955373e-05,college athletics,Oklahoma State University
3.512458265808199e-05,college athletics,University of California Santa Barbara
3.7243182419668464e-05,college athletics,Stanford University
4.161201272722865e-05,college athletics,University of Texas Austin
1.4803473822796667e-05,college athletics,University of Michigan
8.619852590528814e-05,college athletics,Muhlenberg College
5.9520318601459796e-05,college athletics,Quinnipiac University
7.093431541626726e-05,college athletics,Amherst College
4.168803523363878e-05,college athletics,Virginia Polytechnic Institute
9.509793660759293e-05,college athletics,California Lutheran University
-0.00011568883805578725,baseball,"California Polytechnic State University, SLO"
-1.4206374567552133e-05,baseball,Emory University
0.0005406891070186781,baseball,University of Georgia
-2.932688287847226e-05,baseball,University of Hawaii Manoa
2.8945922700515364e-05,baseball,Suffolk University
0.00024281685951124465,baseball,University of Utah
2.4091802537991e-05,baseball,Pennsylvania State University
7.073250293193111e-05,baseball,University of Notre Dame
6.471338071070012e-06,baseball,Creighton University
4.5299366497490086e-05,baseball,East Carolina University
-3.739071687566052e-05,baseball,"University of Nebraska, Lincoln"
-2.116604145673495e-05,baseball,University of North Florida
0.0016911839703443723,baseball,Georgetown University
-1.912458325220782e-05,baseball,Texas Christian University
5.1640731005678787e-05,baseball,Eastern Illinois University
-1.2566012684119007e-05,baseball,University of Massachusetts Boston
9.195536446291198e-05,baseball,Oregon State University
-1.386077374115784e-05,baseball,New York University
0.0004178925905665087,baseball,SUNY Stony Brook
-1.525312606042757e-05,baseball,University of Chicago
-7.901432084487412e-05,baseball,University of Illinois Urbana Champaign
2.0180114159676842e-05,baseball,Augustana College
-1.7600998955628606e-05,baseball,University of California Irvine
6.263658890832718e-05,baseball,Florida Gulf Coast University
-8.647052574362038e-05,baseball,Northern Illinois University
-2.5997732445971098e-05,baseball,University of California Davis
0.00014854593889634097,baseball,University of Rochester
